sample	non_sig	sig	total	Tissue_Color_Code	Tissue	Abbreviation
GTOP-AJ141-2099	2715	217	2932	A8D650	Adrenal_Gland	ADRNLG
GTOP-AJ142-1053	1458	198	1656	69AE6A	Liver	LIVER
GTOP-AJ211-0160	2820	245	3065	E59525	Adipose	ADP
GTOP-AJ211-1856	2522	208	2730	8F8495	Gallbladder	BLADDER
GTOP-AJ221-1053	1601	170	1771	69AE6A	Liver	LIVER
GTOP-AJ221-1470	1947	157	2104	535426	Small_Intestine	SNTTRM
GTOP-AJ221-1584	2021	205	2226	E7C08D	Colon	COLON
GTOP-AJ221-1710	2283	167	2450	AF8C5C	Esophagus	ESP
GTOP-AJ221-4019	1317	91	1408	6F1F71	Heart_Left_Atrium	HEARTLA
GTOP-AJ221-4023	1988	150	2138	9F98BF	Heart_Tricuspid_Valve	HEARTTV
GTOP-AJ221-4149	1787	170	1957	7e888e	Thoracic_Aorta	THRAORT
GTOP-AJ221-4155	1812	189	2001	758E90	Aortic_Arch	ARTARCH
GTOP-AJ231-0087	2046	244	2290	7080BD	Muscle	MUSCLE
GTOP-AJ231-0262	3211	363	3574	3A71A4	Skin	SKIN
GTOP-AJ231-1053	2673	246	2919	69AE6A	Liver	LIVER
GTOP-AJ231-1236	2169	155	2324	902222	Pancreas_Body	PNCREASB
GTOP-AJ231-2099	2653	262	2915	A8D650	Adrenal_Gland	ADRNLG
GTOP-AK091-0087	2242	262	2504	7080BD	Muscle	MUSCLE
GTOP-AK091-1710	2830	294	3124	AF8C5C	Esophagus	ESP
GTOP-AK091-3082	2853	241	3094	768454	Spleen	SPLEEN
GTOP-AK091-4002	2004	121	2125	9C5CA1	Heart_Left_Ventricle	HEARTLV
GTOP-AK092-1053	1903	230	2133	69AE6A	Liver	LIVER
GTOP-AK111-1236	1948	133	2081	902222	Pancreas_Body	PNCREASB
GTOP-AK112-0262	2734	251	2985	3A71A4	Skin	SKIN
GTOP-AK112-1710	3058	335	3393	AF8C5C	Esophagus	ESP
GTOP-AK112-4002	1628	161	1789	9C5CA1	Heart_Left_Ventricle	HEARTLV
GTOP-AK112-4023	1941	177	2118	9F98BF	Heart_Tricuspid_Valve	HEARTTV
GTOP-AK221-0160	2865	195	3060	E59525	Adipose	ADP
GTOP-AK221-2099	2431	191	2622	A8D650	Adrenal_Gland	ADRNLG
GTOP-AK231-1710	2901	254	3155	AF8C5C	Esophagus	ESP
GTOP-AK231-5032	2147	129	2276	AECBD1	Lung_Base	LUNGB
GTOP-AK281-1108	1327	129	1456	AB5F2C	Pancreas_Head	PNCREASH
GTOP-AL121-0378	1574	209	1783	CC418D	Whole_Blood	WHLBLD
GTOP-AL121-1053	1858	204	2062	69AE6A	Liver	LIVER
GTOP-AL271-1856	2732	316	3048	8F8495	Gallbladder	BLADDER
GTOP-BA041-1236	2027	145	2172	902222	Pancreas_Body	PNCREASB
GTOP-BA082-0160	2709	260	2969	E59525	Adipose	ADP
GTOP-BA131-1053	923	108	1031	69AE6A	Liver	LIVER
GTOP-BA131-2099	2388	241	2629	A8D650	Adrenal_Gland	ADRNLG
GTOP-BA191-2099	2161	210	2371	A8D650	Adrenal_Gland	ADRNLG
GTOP-BA231-3082	3245	285	3530	768454	Spleen	SPLEEN
GTOP-BA231-4155	2304	190	2494	758E90	Aortic_Arch	ARTARCH
GTOP-BA232-0378	2132	303	2435	CC418D	Whole_Blood	WHLBLD
GTOP-BA232-1856	2648	283	2931	8F8495	Gallbladder	BLADDER
GTOP-BA251-0160	2268	269	2537	E59525	Adipose	ADP
GTOP-BA251-2099	2742	248	2990	A8D650	Adrenal_Gland	ADRNLG
GTOP-BB201-1053	1971	227	2198	69AE6A	Liver	LIVER
GTOP-BB201-1710	2860	357	3217	AF8C5C	Esophagus	ESP
GTOP-BB201-1856	2484	164	2648	8F8495	Gallbladder	BLADDER
GTOP-BB201-4019	1590	159	1749	6F1F71	Heart_Left_Atrium	HEARTLA
GTOP-BB201-4023	2204	184	2388	9F98BF	Heart_Tricuspid_Valve	HEARTTV
GTOP-BB201-4149	1897	147	2044	7e888e	Thoracic_Aorta	THRAORT
GTOP-BB201-4155	2204	232	2436	758E90	Aortic_Arch	ARTARCH
GTOP-BB202-0378	2915	502	3417	CC418D	Whole_Blood	WHLBLD
GTOP-BB202-5032	2303	221	2524	AECBD1	Lung_Base	LUNGB
GTOP-BC041-0262	3052	281	3333	3A71A4	Skin	SKIN
GTOP-BC041-3082	2939	327	3266	768454	Spleen	SPLEEN
GTOP-BC161-0160	2342	177	2519	E59525	Adipose	ADP
GTOP-BC161-1856	2197	213	2410	8F8495	Gallbladder	BLADDER
GTOP-BC181-0087	2256	315	2571	7080BD	Muscle	MUSCLE
GTOP-BC181-0262	3152	302	3454	3A71A4	Skin	SKIN
GTOP-BC181-1053	1185	134	1319	69AE6A	Liver	LIVER
GTOP-BC181-1236	2205	148	2353	902222	Pancreas_Body	PNCREASB
GTOP-BC181-1392	1137	58	1195	E59276	Pancreas_Tail	PNCREAST
GTOP-BC181-2099	2035	213	2248	A8D650	Adrenal_Gland	ADRNLG
GTOP-BC181-3082	3422	280	3702	768454	Spleen	SPLEEN
GTOP-BD201-0087	2084	203	2287	7080BD	Muscle	MUSCLE
GTOP-BE141-1856	2396	176	2572	8F8495	Gallbladder	BLADDER
GTOP-BE161-1710	2341	217	2558	AF8C5C	Esophagus	ESP
GTOP-BE161-5302	1875	171	2046	D285A5	Trachea	TRACHEA
GTOP-BF221-0378	1189	142	1331	CC418D	Whole_Blood	WHLBLD
GTOP-BG091-0160	2280	196	2476	E59525	Adipose	ADP
GTOP-BG171-0378	1036	139	1175	CC418D	Whole_Blood	WHLBLD
GTOP-BH131-0378	1142	175	1317	CC418D	Whole_Blood	WHLBLD
GTOP-BH131-1236	1385	116	1501	902222	Pancreas_Body	PNCREASB
GTOP-BH131-1710	2192	173	2365	AF8C5C	Esophagus	ESP
GTOP-BH131-4003	1922	178	2100	A780A0	Heart_Right_Ventricle	HEARTRV
GTOP-BH131-4022	1936	165	2101	BA91BC	Heart_Mitral_Valve	HEARTMV
GTOP-BI071-1236	1270	99	1369	902222	Pancreas_Body	PNCREASB
GTOP-BI071-1856	2459	194	2653	8F8495	Gallbladder	BLADDER
GTOP-BJ141-0087	1565	152	1717	7080BD	Muscle	MUSCLE
GTOP-BJ191-0378	1309	189	1498	CC418D	Whole_Blood	WHLBLD
GTOP-BJ191-1108	951	68	1019	AB5F2C	Pancreas_Head	PNCREASH
GTOP-BK021-0087	1738	200	1938	7080BD	Muscle	MUSCLE
GTOP-BK021-1053	1047	137	1184	69AE6A	Liver	LIVER
GTOP-BK071-1392	1302	96	1398	E59276	Pancreas_Tail	PNCREAST
GTOP-BK071-1856	2282	191	2473	8F8495	Gallbladder	BLADDER
GTOP-BK071-4149	1971	142	2113	7e888e	Thoracic_Aorta	THRAORT
GTOP-BK071-4150	2333	188	2521	d0d1e6	Common_Iliac_Artery	ARTCIL
GTOP-BK161-1236	1824	166	1990	902222	Pancreas_Body	PNCREASB
GTOP-BK281-0087	1966	241	2207	7080BD	Muscle	MUSCLE
GTOP-BK281-4018	1896	242	2138	8466A6	Heart_Right_Atrium	HEARTRA
GTOP-BL021-0378	1730	271	2001	CC418D	Whole_Blood	WHLBLD
GTOP-BL021-2099	1995	176	2171	A8D650	Adrenal_Gland	ADRNLG
GTOP-BL221-0262	2215	148	2363	3A71A4	Skin	SKIN
GTOP-BL261-0262	2304	124	2428	3A71A4	Skin	SKIN
GTOP-BL261-3170	2308	182	2490	ACAA95	Lymph_node	LYMPHN
GTOP-CA081-1392	1647	119	1766	E59276	Pancreas_Tail	PNCREAST
GTOP-CA081-1856	2225	188	2413	8F8495	Gallbladder	BLADDER
GTOP-CA081-3170	2051	142	2193	ACAA95	Lymph_node	LYMPHN
GTOP-CA081-4003	1561	245	1806	A780A0	Heart_Right_Ventricle	HEARTRV
GTOP-CA121-0160	2107	207	2314	E59525	Adipose	ADP
GTOP-CB151-1236	1390	117	1507	902222	Pancreas_Body	PNCREASB
GTOP-CB161-1392	1196	93	1289	E59276	Pancreas_Tail	PNCREAST
GTOP-CB261-0087	1973	240	2213	7080BD	Muscle	MUSCLE
GTOP-CB271-0087	1723	172	1895	7080BD	Muscle	MUSCLE
GTOP-CB271-1584	2506	216	2722	E7C08D	Colon	COLON
