Indis	chromosome	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50	group
GTOP-BA102	16	154891	79509	2432	0	245	42	324.5265306122449	2	6173	79509	110037	270685.67346938775	1	3215110	66317990	81941	68394	66124	0.970320108370657	0.9668099540895401	365939	LRS
GTOP-BA102	17	199171	76055	866	0	247	53	307.914979757085	2	2703	76055	103429	262194.82995951414	67	2780123	64762123	76921	61962	61224	0.9887416960257926	0.9880894741938607	435050	LRS
GTOP-BA102	18	187096	71874	3358	0	195	91	368.5846153846154	2	4753	71874	130661	338842.3384615385	1	3154358	66074256	75232	63014	59712	0.9553647384091876	0.9475989462659091	668766	LRS
GTOP-BA102	19	104397	60931	199	0	153	118	398.24183006535947	2	3313	60931	151640	320041.1111111111	18	2042863	48966290	61130	48235	48091	0.9967446425650254	0.9970146159427802	507268	LRS
GTOP-BA102	20	126454	64609	1083	0	209	123	309.13397129186603	2	2523	64609	143464	257059.7942583732	4	1979150	53725497	65692	55266	54236	0.9835139743043293	0.9813628632432236	429027	LRS
GTOP-BA102	21	81803	47777	1131	0	113	182	422.8053097345133	2	3752	47777	135884	284066.38053097343	1821	2009472	32099501	48908	41303	40248	0.9768749488836183	0.9744570612304191	372204	LRS
GTOP-BA102	22	77079	46846	529	0	112	209.5	418.26785714285717	2	2556	46846	135842.5	287162.4375	215	2989018	32162193	47375	39450	38993	0.9888337730870712	0.9884157160963245	261698	LRS
GTOP-BA131	1	432867	213418	1928	1	793	32	269.12736443883983	2	4901	213418	81413	241797.78841309823	1	3623995	191987444	215347	177366	175623	0.9910423641843165	0.9901728628936775	447157	LRS
GTOP-BA131	2	407344	220196	1146	0	836	35	263.39234449760767	2	5186	220196	93535	239690.5610047847	2	3685201	200381309	221342	182769	181787	0.9948224918903777	0.9946270975931367	491034	LRS
GTOP-BA131	3	345891	186424	2038	0	675	29	276.1837037037037	2	3598	186424	95858	244846.96592592594	6	2942691	165271702	188462	156859	154943	0.9891861489318802	0.9877852083718499	464773	LRS
GTOP-BA131	4	354084	192516	1068	1	667	33	288.6296851574213	2	3736	192516	89974	233757.6191904048	2	2477586	155916332	193585	161560	160625	0.9944778779347574	0.9942126764050507	471840	LRS
GTOP-BA131	5	290040	171088	477	0	661	29	258.8320726172466	2	2793	171088	89255	223312.89561270803	8	2224174	147609824	171565	142341	141971	0.997219712645353	0.9974006083981425	420615	LRS
GTOP-BA131	6	290340	164520	1781	1	611	21	269.2635024549918	2	3335	164520	73080	223188.18330605564	4	2771406	136367980	166302	137247	135606	0.9892845546054768	0.9880434545017377	461338	LRS
GTOP-BA131	7	290717	153482	2807	0	529	27	290.13610586011345	2	3793	153482	83672	247996.80151228735	2	2723398	131190308	156289	128933	126260	0.9820396828951494	0.9792683021414222	493696	LRS
GTOP-BA131	8	245214	131039	1779	2	538	24	243.56691449814127	2	3731	131039	82800	216629.0185873606	2	2387440	116546412	132820	111297	109622	0.9865908748682427	0.9849501783516177	426619	LRS
GTOP-BA131	9	234518	127925	2806	0	396	65	323.0429292929293	2	4221	127925	97141	258898.93181818182	2	2731248	102523977	130731	109515	106910	0.9785360779004215	0.9762133041135918	432880	LRS
GTOP-BA131	10	274072	141208	785	0	441	42	320.1995464852608	2	3513	141208	103188	255685.78911564627	9	2180582	112757433	141993	117646	116964	0.994471558457107	0.9942029478265304	487498	LRS
GTOP-BA131	11	265344	125774	5691	0	462	52	272.23809523809524	2	4529	125774	100079	236900.18181818182	5	3471790	109447884	131465	110835	105216	0.9567109116494884	0.9493030179997294	413287	LRS
GTOP-BA131	12	245907	124636	1798	0	441	34	282.62131519274374	2	4336	124636	99250	250217.43537414967	3	2979982	110345889	126434	103507	101801	0.9857791416865717	0.9835180229356468	476320	LRS
GTOP-BA131	13	208725	92874	1138	0	317	52	292.97791798107255	2	2567	92874	95823	259232.7097791798	27	1909836	82176769	94012	77910	76836	0.9878951623197039	0.9862148633038121	384311	LRS
GTOP-BA131	14	145570	86383	127	0	284	64	304.1654929577465	2	2708	86383	104601.5	258207.17605633804	8	2130200	73330838	86510	71038	70963	0.9985319616229338	0.9989442270334188	339718	LRS
GTOP-BA131	15	153560	81385	3114	0	336	48	242.2172619047619	2	2997	81385	58243.5	197536.46726190476	6	1955816	66372253	84499	70489	67629	0.9631474928697381	0.9594262934642285	242451	LRS
GTOP-BA131	16	155135	81449	2414	1	271	43	300.549815498155	2	4912	81449	90630	245911.9409594096	4	2712975	66642136	83864	69909	67674	0.9712033768959267	0.9680298673990473	377350	LRS
GTOP-BA131	17	195787	75416	813	0	305	47	247.2655737704918	2	2742	75416	79357	207618.06885245902	2	1765338	63323511	76229	61418	60713	0.9893347676081281	0.9885212804063955	351788	LRS
GTOP-BA131	18	183611	72054	3333	0	255	65	282.56470588235294	2	5940	72054	94714	246794.20392156864	2	4323619	62932522	75387	63049	59793	0.9557881332325202	0.9483576266078764	439303	LRS
GTOP-BA131	19	106407	62935	339	0	196	98.5	321.0969387755102	2	3006	62935	148087	237264.73979591837	179	1586247	46503889	63274	50220	49946	0.9946423491481493	0.9945440063719634	366248	LRS
GTOP-BA131	20	127156	65045	1550	0	232	70.5	280.3663793103448	2	2930	65045	104046.5	226272.2974137931	494	2061829	52495173	66595	55819	54316	0.9767249793528042	0.9730736845876852	378429	LRS
