group	count	Freq	all	ratio
ASE	1	37773	47298	0.7986172776861601
ASE	2	6553	47298	0.13854708444331684
ASE	3	1873	47298	0.03959998308596558
ASE	4	698	47298	0.01475749503150239
ASE	5	276	47298	0.005835341874920716
ASE	6	94	47298	0.0019873990443570553
ASE	7	23	47298	4.862784895767263e-4
ASE	8	8	47298	1.6914034420060045e-4
ASTS	1	4396	5436	0.8086828550404709
ASTS	2	683	5436	0.1256438557763061
ASTS	3	248	5436	0.04562178072111847
ASTS	4	75	5436	0.01379690949227373
ASTS	5	24	5436	0.004415011037527594
ASTS	6	6	5436	0.0011037527593818985
ASTS	7	4	5436	7.358351729212656e-4
