dir	num	all	ratio	thresh
diff	855	8947	0.0955627584665251	40
same	8092	8947	0.9044372415334749	40
diff	877	9214	0.09518124593010636	35
same	8337	9214	0.9048187540698936	35
diff	903	9467	0.09538396535333263	30
same	8564	9467	0.9046160346466674	30
diff	909	9814	0.09262278377827593	25
same	8905	9814	0.9073772162217241	25
diff	901	10082	0.08936718904979171	20
same	9181	10082	0.9106328109502083	20
diff	914	10486	0.08716383749761587	15
same	9572	10486	0.9128361625023841	15
diff	910	10796	0.08429047795479808	10
same	9886	10796	0.915709522045202	10
