Major_Type	tec	sampleID	Total_count
STR	LRS	GTOP-CI231	420158
STR	LRS	GTOP-CI251	420357
STR	LRS	GTOP-CI291	423592
STR	LRS	GTOP-CI301	428261
STR	LRS	GTOP-CJ091	423056
STR	LRS	GTOP-CJ092	422342
STR	LRS	GTOP-CJ093	422856
STR	LRS	GTOP-CJ111	420713
STR	LRS	GTOP-CJ151	420040
STR	LRS	GTOP-CJ231	421330
STR	LRS	GTOP-CK031	423178
STR	LRS	GTOP-CL111	420797
STR	LRS	GTOP-CL141	420518
STR	LRS	GTOP-CL161	425010
STR	LRS	GTOP-CL171	422791
STR	SRS	GTOP-AJ141	272144
STR	SRS	GTOP-AJ142	250682
STR	SRS	GTOP-AJ211	258915
STR	SRS	GTOP-AJ221	253050
STR	SRS	GTOP-AJ231	242776
STR	SRS	GTOP-AK091	249945
STR	SRS	GTOP-AK092	255872
STR	SRS	GTOP-AK111	264764
STR	SRS	GTOP-AK112	231595
STR	SRS	GTOP-AK221	276860
STR	SRS	GTOP-AK231	227746
STR	SRS	GTOP-AK281	242528
STR	SRS	GTOP-AL091	267626
STR	SRS	GTOP-AL121	223505
STR	SRS	GTOP-AL271	235702
STR	SRS	GTOP-BA041	239756
STR	SRS	GTOP-BA081	228707
STR	SRS	GTOP-BA082	229181
STR	SRS	GTOP-BA091	228853
STR	SRS	GTOP-BA101	243703
STR	SRS	GTOP-BA102	226081
STR	SRS	GTOP-BA131	228853
STR	SRS	GTOP-BA132	241160
STR	SRS	GTOP-BA181	237493
STR	SRS	GTOP-BA191	235133
STR	SRS	GTOP-BA211	222547
STR	SRS	GTOP-BA231	253672
STR	SRS	GTOP-BA232	236319
STR	SRS	GTOP-BA251	237274
STR	SRS	GTOP-BB011	238373
STR	SRS	GTOP-BB201	233122
STR	SRS	GTOP-BB202	244207
STR	SRS	GTOP-BB211	241869
STR	SRS	GTOP-BB251	242782
STR	SRS	GTOP-BB261	245054
STR	SRS	GTOP-BC041	235061
STR	SRS	GTOP-BC061	91552
STR	SRS	GTOP-BC161	221229
STR	SRS	GTOP-BC171	214856
STR	SRS	GTOP-BC181	229587
